Elapsed time,ECG
0:02.190,24
0:02.192,25
0:02.194,19
0:02.196,16
0:02.198,14
0:02.200,12
0:02.202,17
0:02.204,20
0:02.206,20
0:02.208,21
0:02.210,23
0:02.212,21
0:02.214,19
0:02.216,17
0:02.218,15
0:02.220,14
0:02.222,16
0:02.224,15
0:02.226,16
0:02.228,18
0:02.230,16
0:02.232,18
0:02.234,11
0:02.236,9
0:02.238,4
0:02.240,4
0:02.242,8
0:02.244,14
0:02.246,23
0:02.248,35
0:02.250,47
0:02.252,56
0:02.254,65
0:02.256,77
0:02.258,89
0:02.260,111
0:02.262,136
0:02.264,164
0:02.266,178
0:02.268,172
0:02.270,168
0:02.272,155
0:02.274,139
0:02.276,119
0:02.278,101
0:02.280,79
0:02.282,53
0:02.284,31
0:02.286,10
0:02.288,2
0:02.290,7
0:02.292,8
0:02.294,8
0:02.296,11
0:02.298,12
0:02.300,15
0:02.302,19
0:02.304,24
0:02.306,26
0:02.308,25
0:02.310,26
0:02.312,24
0:02.314,21
0:02.316,18
0:02.318,17
0:02.320,18
0:02.322,21
0:02.324,22
0:02.326,22
0:02.328,24
0:02.330,26
0:02.332,25
0:02.334,22
0:02.336,18
0:02.338,15
0:02.340,16
0:02.342,19
0:02.344,23
0:02.346,23
0:02.348,23
0:02.350,28
0:02.352,22
0:02.354,20
0:02.356,19
0:02.358,17
0:02.360,20
0:02.362,24
0:02.364,26
0:02.366,27
0:02.368,28
0:02.370,29
0:02.372,26
0:02.374,23
0:02.376,22
0:02.378,21
0:02.380,22
0:02.382,26
0:02.384,28
0:02.386,30
0:02.388,31
0:02.390,33
0:02.392,27
0:02.394,23
0:02.396,22
0:02.398,23
0:02.400,22
0:02.402,26
0:02.404,27
0:02.406,28
0:02.408,31
0:02.410,33
0:02.412,32
0:02.414,30
0:02.416,29
0:02.418,29
0:02.420,27
0:02.422,28
0:02.424,33
0:02.426,34
0:02.428,35
0:02.430,34
0:02.432,34
0:02.434,33
0:02.436,35
0:02.438,32
0:02.440,33
0:02.442,36
0:02.444,42
0:02.446,43
0:02.448,45
0:02.450,45
0:02.452,43
0:02.454,42
0:02.456,44
0:02.458,40
0:02.460,45
0:02.462,50
0:02.464,51
0:02.466,52
0:02.468,54
0:02.470,54
0:02.472,54
0:02.474,53
0:02.476,53
0:02.478,50
0:02.480,53
0:02.482,53
0:02.484,56
0:02.486,59
0:02.488,59
0:02.490,58
0:02.492,58
0:02.494,57
0:02.496,56
0:02.498,52
0:02.500,52
0:02.502,51
0:02.504,52
0:02.506,52
0:02.508,54
0:02.510,52
0:02.512,47
0:02.514,44
0:02.516,38
0:02.518,34
0:02.520,34
0:02.522,30
0:02.524,31
0:02.526,32
0:02.528,30
0:02.530,26
0:02.532,24
0:02.534,19
0:02.536,19
0:02.538,15
0:02.540,16
0:02.542,15
0:02.544,15
0:02.546,13
0:02.548,13
0:02.550,7
0:02.552,6
0:02.554,4
0:02.556,3
0:02.558,-1
0:02.560,0
0:02.562,2
0:02.564,2
0:02.566,2
0:02.568,6
0:02.570,3
0:02.572,1
0:02.574,-2
0:02.576,-4
0:02.578,-6
0:02.580,-4
0:02.582,-3
0:02.584,-2
0:02.586,-1
0:02.588,2
0:02.590,-2
0:02.592,-1
0:02.594,-5
0:02.596,-11
0:02.598,-8
0:02.600,-7
0:02.602,-2
0:02.604,0
0:02.606,1
0:02.608,1
0:02.610,-1
0:02.612,-6
0:02.614,-7
0:02.616,-8
0:02.618,-6
0:02.620,-7
0:02.622,-6
0:02.624,-4
0:02.626,-3
0:02.628,-2
0:02.630,-5
0:02.632,-7
0:02.634,-11
0:02.636,-11
0:02.638,-10
0:02.640,-8
0:02.642,-5
0:02.644,-3
0:02.646,-4
0:02.648,-2
0:02.650,-5
0:02.652,-6
0:02.654,-7
0:02.656,-10
0:02.658,-11
0:02.660,-8
0:02.662,-8
0:02.664,-4
0:02.666,-3
0:02.668,-4
0:02.670,-6
0:02.672,-9
0:02.674,-10
0:02.676,-11
0:02.678,-11
0:02.680,-10
0:02.682,-4
0:02.684,-5
0:02.686,-5
0:02.688,-3
0:02.690,-7
0:02.692,-8
0:02.694,-8
0:02.696,-8
0:02.698,-8
0:02.700,-5
0:02.702,-7
0:02.704,-6
0:02.706,-5
0:02.708,-6
0:02.710,-9
0:02.712,-12
0:02.714,-12
0:02.716,-13
0:02.718,-12
0:02.720,-8
0:02.722,-6
0:02.724,-7
0:02.726,-6
0:02.728,-5
0:02.730,-9
0:02.732,-9
0:02.734,-13
0:02.736,-14
0:02.738,-13
0:02.740,-11
0:02.742,-10
0:02.744,-7
0:02.746,-6
0:02.748,-6
0:02.750,-9
0:02.752,-12
0:02.754,-13
0:02.756,-15
0:02.758,-14
0:02.760,-10
0:02.762,-10
0:02.764,-8
0:02.766,-6
0:02.768,-8
0:02.770,-9
0:02.772,-12
0:02.774,-12
0:02.776,-13
0:02.778,-15
0:02.780,-14
0:02.782,-12
0:02.784,-11
0:02.786,-9
0:02.788,-10
0:02.790,-11
0:02.792,-13
0:02.794,-13
0:02.796,-16
0:02.798,-13
0:02.800,-11
0:02.802,-8
0:02.804,-8
0:02.806,-6
0:02.808,-7
0:02.810,-10
0:02.812,-15
0:02.814,-15
0:02.816,-19
0:02.818,-18
0:02.820,-13
0:02.822,-11
0:02.824,-9
0:02.826,-9
0:02.828,-11
0:02.830,-14
0:02.832,-16
0:02.834,-15
0:02.836,-15
0:02.838,-13
0:02.840,-12
0:02.842,-11
0:02.844,-9
0:02.846,-8
0:02.848,-8
0:02.850,-11
0:02.852,-15
0:02.854,-15
0:02.856,-16
0:02.858,-13
0:02.860,-12
0:02.862,-11
0:02.864,-12
0:02.866,-9
0:02.868,-13
0:02.870,-15
0:02.872,-17
0:02.874,-18
0:02.876,-18
0:02.878,-15
0:02.880,-11
0:02.882,-6
0:02.884,-5
0:02.886,-9
0:02.888,-13
0:02.890,-15
0:02.892,-17
0:02.894,-18
0:02.896,-20
0:02.898,-17
0:02.900,-14
0:02.902,-12
0:02.904,-9
0:02.906,-8
0:02.908,-12
0:02.910,-14
0:02.912,-15
0:02.914,-17
0:02.916,-17
0:02.918,-14
0:02.920,-12
0:02.922,-12
0:02.924,-11
0:02.926,-10
0:02.928,-13
0:02.930,-15
0:02.932,-15
0:02.934,-16
0:02.936,-14
0:02.938,-12
0:02.940,-11
0:02.942,-11
0:02.944,-9
0:02.946,-8
0:02.948,-13
0:02.950,-16
0:02.952,-18
0:02.954,-14
0:02.956,-16
0:02.958,-14
0:02.960,-10
0:02.962,-9
0:02.964,-10
0:02.966,-9
0:02.968,-11
0:02.970,-14
0:02.972,-15
0:02.974,-14
0:02.976,-13
0:02.978,-12
0:02.980,-11
0:02.982,-11
0:02.984,-8
0:02.986,-9
0:02.988,-12
0:02.990,-11
0:02.992,-10
0:02.994,-13
0:02.996,-11
0:02.998,-8
0:03.000,-7
0:03.002,-3
0:03.004,-4
0:03.006,-6
0:03.008,-7
0:03.010,-10
0:03.012,-10
0:03.014,-10
0:03.016,-10
0:03.018,-8
0:03.020,-4
0:03.022,1
0:03.024,2
0:03.026,3
0:03.028,0
0:03.030,0
0:03.032,-3
0:03.034,-4
0:03.036,-4
0:03.038,-4
0:03.040,-1
0:03.042,2
0:03.044,9
0:03.046,5
0:03.048,1
0:03.050,0
0:03.052,-5
0:03.054,-9
0:03.056,-8
0:03.058,-5
0:03.060,-5
0:03.062,-6
0:03.064,-6
0:03.066,-10
0:03.068,-12
0:03.070,-15
0:03.072,-17
0:03.074,-18
0:03.076,-18
0:03.078,-14
0:03.080,-14
0:03.082,-11
0:03.084,-9
0:03.086,-11
0:03.088,-14
0:03.090,-16
0:03.092,-16
0:03.094,-18
0:03.096,-18
0:03.098,-16
0:03.100,-12
0:03.102,-12
0:03.104,-12
0:03.106,-16
0:03.108,-16
0:03.110,-17
0:03.112,-21
0:03.114,-22
0:03.116,-20
0:03.118,-16
0:03.120,-15
0:03.122,-13
0:03.124,-11
0:03.126,-14
0:03.128,-17
0:03.130,-20
0:03.132,-22
0:03.134,-21
0:03.136,-18
0:03.138,-17
0:03.140,-16
0:03.142,-15
0:03.144,-10
0:03.146,-16
0:03.148,-17
0:03.150,-18
0:03.152,-22
0:03.154,-24
0:03.156,-21
0:03.158,-19
0:03.160,-20
0:03.162,-20
0:03.164,-21
0:03.166,-25
0:03.168,-26
0:03.170,-25
0:03.172,-25
0:03.174,-18
0:03.176,-4
0:03.178,9
0:03.180,19
0:03.182,31
0:03.184,47
0:03.186,55
0:03.188,72
0:03.190,92
0:03.192,118
0:03.194,134
0:03.196,135
0:03.198,135
0:03.200,124
0:03.202,115
0:03.204,93
0:03.206,76
0:03.208,54
0:03.210,27
0:03.212,-2
0:03.214,-26
0:03.216,-36
0:03.218,-37
0:03.220,-30
0:03.222,-27
0:03.224,-22
0:03.226,-17
0:03.228,-14
0:03.230,-14
0:03.232,-15
0:03.234,-12
0:03.236,-10
0:03.238,-10
0:03.240,-7
0:03.242,-6
0:03.244,-7
0:03.246,-10
0:03.248,-12
0:03.250,-12
0:03.252,-12
0:03.254,-13
0:03.256,-10
0:03.258,-8
0:03.260,-6
0:03.262,-8
0:03.264,-6
0:03.266,-9
0:03.268,-13
0:03.270,-12
0:03.272,-13
0:03.274,-8
0:03.276,-8
0:03.278,-4
0:03.280,-2
0:03.282,-3
0:03.284,-3
0:03.286,-6
0:03.288,-9
0:03.290,-8
